"","glottocode","GB020c","GB021c","GB022c","GB023c","GB024ri","GB026","GB027","GB028","GB030","GB031","GB035","GB036","GB037","GB038c","GB039c","GB041c","GB047","GB048","GB049","GB051c","GB052c","GB053c","GB054c","GB057c","GB059","GB065ri","GB068","GB069","GB074c","GB075c","GB082c","GB083c","GB084c","GB103","GB104","GB105","GB108","GB113","GB116","GB117","GB118","GB122","GB123","GB124","GB126","GB127","GB129","GB131","GB132","GB134","GB135","GB136","GB137","GB138","GB140","GB147c","GB150","GB152","GB155","GB156","GB158","GB159","GB167","GB192c","GB198c","GB203ri","GB204","GB250","GB251m","GB256","GB257","GB262c","GB263c","GB264c","GB265","GB266","GB270","GB273","GB285c","GB286c","GB296","GB298","GB299","GB300","GB301","GB302c","GB304c","GB309c","GB321c","GB322c","GB323c","GB324","GB325","GB326","GB327","GB328","GB329c","GB330c","GB334","GB335","GB401","GB402","GB403","GB408","GB409","GB410","GB415","GB421c","GB422c","GB431c","GB433c","GB480m","GB500drm","GB501drm","GB510m","GB522","GB549drmc","GB550m","GB552m","GB553drmc","GB555m","GB556m","GB557drm","GB558drm","GB559drm","GB561drmc","GB563m","GB567drm","GB568drm","GB590m","GB591m","GB595m","GB606m","GB620drmc","GB621drmc","GB622drmc","GB623drmc","GB624drmc","GB701drm","GB702drm","GB703drmc","GB704drm","GB777drm","GB800m","GB850drm","GB851drm","GB852drm","GB853drm","GB887drmc","GB888drmc","GB945m","GB949m","GB950m","GB954drmc","GB955drmc","GB133C","GB995s","GB110cC","GB151C","GB146C","GB149C","GB098C","GB096C","GB095C","GB625mC","GB111C","GB109C","GB099C","GB177C","GB081C","GB331C","GB197CC","GB196C","GB313C","GB254cC","GB253cC","GB252cC","GB058C","GB590OM","GB949OM","GB948NOM","GB332NOM","GB551mC","GB046C","GB991drmcC","GB990drmcC","GB953drmcC","GB952drmcC","GB951drmcC","GB107C","GB139C","GB800OM","GB556OM","GB569drmcC","GB560drmcC"
"1908","shix1238","1","1","0","1","2","0","1","1","0","1","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,"1","0","1","1","0",NA,NA,NA,NA,NA,"0","0","1","1","1","0","1","?","?","?","0","1","0","0","0","0","1","1","1","0","0","0",NA,"?","1","1","0","1","0","0",NA,NA,"?","?","0","1","0","0",NA,NA,NA,"0","0","0","1",NA,"1","1","0","0","0","0",NA,NA,NA,NA,NA,NA,"0","?","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0","1","0","1","1","1","0","1","0","1","1","1","1","?","0","0","1","1","1","0","0","1","0","1","?","1",NA,NA,NA,NA,NA,"1","1",NA,"1","1","?","?","1","1","0","1","1","1","1","0","0","1",NA,"?","1",NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"0",NA,NA,NA,"0","0","0","1",NA,"NA","segmental","no","decimal system","0","1","1","0",NA,"0","0","1","1","?","NA","0",NA
"1909","shol1240",NA,NA,NA,NA,"1","0","1","0","1","0","0","0","0",NA,"0","?","0","0","0","1","0","0","0",NA,"?","1","0","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0","1","0","?","?","?","0","0","1","?","0","1","0","0","1","1","1","1","0","0","0","0","0",NA,"2","1","0","0","0","0","0","1","0","?","?","?","?",NA,NA,"1","0","1","?","0","0","?","0","0",NA,NA,"0","0","1","?","1",NA,NA,"0","0","0","0","0","1","0","0","0",NA,NA,NA,NA,"1","1","0","0","1","1","0","0","1","1","0","1","1","1","0","1","0","0","1","0","?","?","1","1","0","0","1","0","0","0","0","1","?","1","0","0","1","1","1","1","0","1","0","1","1","?","1","0","0","0","0","0","0","1","1","?","0","0","0",NA,NA,"0","?",NA,NA,NA,NA,"suffix","NA","no","decimal system","1","0","1","0",NA,"0","0","1","1","?","NA",NA,NA
"1910","shon1251",NA,NA,NA,NA,"2","0","0","0","1","0","1","0","1",NA,"1","0","1","1","1","0","1","1","1",NA,"0","2","?","1",NA,NA,"0","1","1","1","0","1","1","1","0","0","0","0","?","0","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","0","1","1","0","0","1","NA","0","0","0","1","?","0","1","0","1","0","?","1",NA,NA,"1","0","0","0","0","0","1","1","0",NA,NA,"0","?","1","1","0","?","1","?","?","?","0","0","0","0","1","0","1","0","0","1","0","?","0","1","1",NA,"0","0",NA,"1","0","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0",NA,NA,"1","0","1","0","1",NA,"noun-adj and noun-dem","0","0","?","0","0","0","0","1","0","0","0","0","0","0",NA,"0",NA,NA,NA,NA,NA,"NA","NA","no","?","1","0","1","0",NA,"0","1","1","1","NA","NA",NA,"1"
"1911","shor1247",NA,NA,NA,NA,"1","?","0","0","0","0","1","0","0",NA,"0","0","1","1","1",NA,NA,NA,NA,NA,"0","NA","0","0","0","1","1","1","1","0","0","0","0","1","0","1","1","0","?","?","1","?","0","0","0","1","?","1","1","0","0","1","1","1","1","0","0","0","0",NA,NA,"?","?","0","1","0","0","0","1","0","0","1","0","0",NA,NA,"?","0","?","0","1","0","?","1",NA,NA,NA,"1","0","1","?","?",NA,NA,"0","0","?","?","?","1","0","1","0",NA,NA,"0","1","1","1","0","?","1","1","0","0","1","1","0","1","1","1","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0",NA,"1","1","0","1","1","1","?","1","1","1","0","1","0","1","1","adj-noun and dem-noun","0","0","0","0","0","0","0","1","0","0","0","0","0",NA,NA,NA,"0","1","0","0",NA,"suffix","NA","no","decimal system","0","1","1","0",NA,"0","0","1","0","NA","NA",NA,NA
"1912","shos1248",NA,NA,NA,NA,"1","0","0","1","0","1","1","0","1",NA,"0","0","1","1","1",NA,NA,NA,NA,NA,"0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","0","1","0","1","0","1","0","0","0","?","0","1","0","0","1","1","0","1","1","0","0","0","0",NA,NA,"NA","0","0","0","0","0","0","0","1","1","0","0","0",NA,NA,"?","0","1","1","0","0","0","0",NA,"1","1","0","1","1","1","0","1","0","0","0","?","0","0","1","0","0","0",NA,NA,NA,NA,"1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1",NA,NA,NA,NA,NA,"1","0",NA,"1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","adj-noun and dem-noun","0",NA,NA,NA,NA,NA,"0","0","1",NA,NA,NA,"0","0",NA,NA,"0",NA,NA,NA,NA,"suffix","NA","no","decimal system","0","0","1","0","0","1","0","0","0","bound","1",NA,NA
"1913","shua1257",NA,NA,NA,NA,"1","0","1","0","0","0","1","0","0",NA,NA,NA,"?","1","1",NA,NA,NA,NA,NA,"1","NA","0","0","0","1","0","1","1","1","?","1","1","1","0","1","?","?","?","?","1","?","0","0","0","1","1","1","0","0","0",NA,"?","1","0","0","1","?","0",NA,NA,"1","?","?","?","?","?",NA,NA,NA,"?","?","?","?",NA,"1","1","0","0","?","0",NA,NA,"1",NA,NA,NA,"0","?","?","1","0",NA,NA,"?","0","?","?","?","1","0","1","0",NA,NA,"0","1","1","1","?","0","1","1","?","0","1","?","?","1","1","1",NA,"1","0","0","0","1","0","?","1","1","1","0","1","1","0",NA,"1","1","?","1","1","1","0","1","1","0","1","0",NA,NA,"1","noun-adj and noun-dem","?","1","?","1","1","0","0","1","?","?","0","0","0","?",NA,NA,"0",NA,NA,NA,"0","NA","segmental","no","?",NA,NA,NA,NA,NA,NA,NA,"1","1","?","?",NA,NA
"1914","shwe1236",NA,NA,NA,NA,"NA","0","1","1","0","1","1","0","1","0","0","0","1","0","?",NA,NA,NA,NA,"1","?","2","0","0","1","0",NA,NA,NA,"0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","?","1","1","0","1","1",NA,"1","0","0","0","1","1","0",NA,NA,"?","1","1","?","?","0","0","1","1","?","?","?","1",NA,NA,"?","0","1","0","?",NA,NA,"0",NA,NA,NA,"0","0","0","1","?","?","1","0","0","1","0","0","0","0","1","0",NA,NA,NA,NA,"0","1","1","0","1",NA,"0","1",NA,"?","?","1","1","1","0","1","0","0","?","?","0","1",NA,NA,NA,NA,NA,"?","?",NA,"?","0","0","1","1","1","1",NA,NA,"1","0","1","0","1",NA,"noun-adj and noun-dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,"?","NA","no","decimal system","0","0","0","1",NA,"0","0",NA,"1","NA","?",NA,NA
"1915","siam1242","1","0","1","1","2","?","?","0","0","0","?","?","?",NA,NA,NA,"1","?","?",NA,NA,NA,NA,NA,"1","1","?","?","0","1",NA,NA,NA,"0","0","0","0","?","0","1","?","?","?","0","?","?","0","0","0","1","0","1","1","0","1",NA,"1","0","?","?","?","?","1",NA,NA,"?","?","?","?","?","0","0","1","0","0","1","0","0",NA,NA,"?","0","1","0","?",NA,NA,NA,NA,NA,NA,"0","?","1","0","0","0","1","?","?","?","?","?","?","?","?","?",NA,NA,NA,NA,"0","?","?","?","?",NA,"1","?",NA,"0","0","?","?","1",NA,"1","0","0","?","?","0","1",NA,NA,NA,NA,NA,"1","?",NA,"1","1","0","1","1","0","1",NA,NA,"?","0","1",NA,NA,"1","adj-noun and noun-dem","1",NA,NA,NA,NA,NA,"0","0","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","?","NA","no","?",NA,NA,NA,NA,NA,NA,NA,"0",NA,"NA","NA",NA,NA
"1916","siar1238","1","?","1","0","1","0","1","1","0","1","1","0","0",NA,"0","1","1","?","1",NA,NA,NA,NA,NA,"1","NA","1","?","1","0",NA,NA,NA,"0","0","1","0","1","0","0","1","1","?","?","0","?","0","0","1","1","1","1","0","1","1",NA,"?","0","1","0","1","1","?",NA,NA,"?","?","?","?","?","?",NA,NA,NA,"?","?","?","?",NA,NA,"?","?","?","?","?",NA,NA,NA,NA,NA,NA,"?","?","?","?","?",NA,NA,"?","?","?","?","?","?","?","?","?",NA,NA,NA,NA,"?","?","?","?","?",NA,"1","0",NA,"?","?","?","?","?","?","1","?","?","?","?","?","?",NA,NA,NA,NA,NA,"?","?",NA,"?","?","?","?","1","1","?",NA,NA,"1","?","?","?","?",NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","?","?","?","?","?","0",NA,NA,NA,NA,NA,NA,NA,"?","?",NA,NA
"1917","siaw1243",NA,NA,NA,NA,"NA","?","?","1","0","0","?","?","?",NA,"0","0","?","?","?",NA,NA,NA,NA,NA,"0","1","?","0","0","1","1","1","1","0","0","1","0","?","0","0","1","0","1","0","1","?","0","0","0","?","?","0","1","0","?",NA,"1","1","?","?","1","0","?",NA,NA,"?","?","?","?","?","0","0","1","0","?","?","?","?","0","1","?","0","0","1","?",NA,NA,"1",NA,NA,NA,"0","?","?","?","?",NA,NA,"1","0","?","?","?","1","0","0","?",NA,NA,NA,NA,"1","1","?","?","1","1","0","?","1","?","?","1","1","1","?","1","?","0","1","0","?","?","1","1","0","0","1","?","?",NA,"?","1","?","?","?","?","?","1","1","1","1","1","0","1","1","?","0","1","?","?","?","?","?","1","?","1","0","?","0",NA,NA,NA,"1",NA,NA,NA,NA,"suffix","segmental","no","decimal system","0","?","1","0",NA,"0","0","1","1","?","?",NA,NA
"1918","sibe1251",NA,NA,NA,NA,"1","?","1","1","0","0","0","0","0","0","0","0","1","1","1",NA,NA,NA,NA,"1","1","NA","0","0","0","1","1","1","1","0","0","0","1","1","0","1","0","0","?","?","0","?","0","0","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0",NA,NA,"1","1","0","1","0","1","0","1","0","0","1","0","0",NA,NA,"0","1","0","0","0","0","1","1",NA,NA,NA,"1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","1","1","1","0","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","adj-noun and dem-noun","0","0","0","0","0","0","0","1","1","0","0","0","0",NA,NA,NA,"0","1","1","0","0","suffix","NA","no","decimal system","0","1","1","0",NA,"0","0","0","0","bound","NA",NA,NA
"1919","sich1238","1","1","0","1","2","0","0","0","0","1","0","0","0",NA,NA,NA,"1","1","1","0","1","1","1",NA,"0","1","0","0","0","1",NA,NA,NA,"0","0","1","0","0","0","?","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","0","1","2","1","1","0","0","0","0","1","0","1","1","0","1","1","0","1","0","1","0","0","1","1","0","0",NA,NA,"0","0","1","1","1",NA,NA,"0","0","1","0","0","1","0","1","0","1","0",NA,NA,"0","0","1","1","1",NA,"1","0",NA,"1","0","1","1","1",NA,"1","0","0","0","0","0","?",NA,NA,NA,NA,NA,"1","1","0","1","1","1","1","1","1","1",NA,NA,"?","1","1",NA,NA,"1","noun-adj and noun-dem","0",NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,"1","?",NA,NA,NA,NA,NA,NA,NA,"NA","segmental","no","decimal system",NA,NA,NA,NA,NA,NA,NA,"1","1","non-bound","NA",NA,NA
"1920","sici1248","1","1","1","0","1","0","1","0","1","0","1","0","0",NA,"0","0","?","1","?","1","0","0","0",NA,"1","NA","0","0","1","?","1","1","1","0","0","0","0","0","0","1","0","0","?","0","1","?","?","0","1","1","1","0","0","0","1",NA,"1","0","0","0","?","?","0","1","0","1","1","1","0","0","?",NA,NA,NA,"0","1","0","0",NA,NA,"?","0","1","1","0",NA,NA,"1","0",NA,NA,"0","0","0","1","0","1","0","0","0","?","1","1","1","0","0","?","1","0",NA,NA,"1","1","0","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","0","0","?","1","1","1","0","0","1","1","1","0","1","1","1","1","?","0","1","0","1","1","0","0","0","1",NA,"?","1","0","0","0","0","0","0","1","1","1","1","0","0","0",NA,"0","1",NA,NA,NA,"0","NA","NA","no","decimal system","1","0","1","0",NA,"0","1","0","1","non-bound","NA","1","1"
"1921","sici1249","1","1","0","1","2","0","1","0","0","0","0","0","0",NA,"0","?","?","?","?","?","?","?","?",NA,"0","1","1","1","1","1",NA,NA,NA,"?","?","0","0","?","0","1","0","0","0","?","0","0","0","0","0","1","?","?","1","0","?",NA,"0","?","?","?","0","?","?","?","0","2","?","0","1","0","0","0","1","0","?","?","?","?",NA,NA,"0","0","1","0","0",NA,NA,"1","?",NA,NA,"0","0","0","?","?",NA,NA,"0","?","?","0","0","0","0","1","0","0","1",NA,NA,"0","0","1","1","?",NA,"1","0",NA,"?","?","1","1","1","1","1","0","1","0","0","0","?",NA,NA,NA,NA,NA,"?","?","?","?","1","?","0","0","0","0",NA,NA,"1","0","1","0","1","1","adj-noun and noun-dem","0",NA,NA,NA,NA,NA,"0","0","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","no","?","1","?","1","0",NA,"0","1","0","?","?","?","1","1"
"1922","sida1246",NA,NA,NA,NA,"1","?","1","0","1","0","1","0","0",NA,"?","?","1","1","1","?","0","0","0",NA,"1","NA","0","0",NA,NA,NA,NA,NA,"1","?","0","?","1","?","1","?","?","?","?","1","0","0","0","0","1","1","?","1","?","1","1","1","1","1","0","1","?","0","0","1","NA","?","?","?","?","1",NA,NA,NA,"1","0","0","0",NA,NA,"?","?","?","?","?","?","?","?","?",NA,NA,"?","?","?","?","?",NA,NA,"?","?","?","?","?","?","?","?","?",NA,NA,NA,NA,"1","1","?","?","?","1","?","0","1","1","?","1","?","1","1","0","1","1","?","?","?","?","1","1","1","0","1","?","?","?","?","1","1","?","?","0","?","1","1","1","?","0","?","1",NA,"adj-noun and dem-noun","?","?","1","0","?","?","?","1","?","?","?","?","?",NA,NA,"0","?",NA,NA,NA,"0","?","?","?","?","1","?","1","?",NA,"?","1","1",NA,"bound","?",NA,"1"
