"","iterations","available_data_points","prop_coded_data","n_lg","n_var","worst_lg_abs","worst_lg_abs_coding_density","worst_var_abs","worst_var_abs_coding_density","removed_lg","removed_var"
"1","0 (full)","74801","0.162868626870351","2456","187","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;inte1259;paki1242;port1277;norw1255;keny1241;urub1243;plai1235;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.0053475935828877","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00651465798045603","NA","NA"
"2","1","74767","0.163803226682791","2454","186","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;vlaa1235;queb1245;adam1238;ital1275;finn1310;swed1236;isra1236;amer1248;turk1288;hong1241;iris1235;japa1238;braz1236;icel1236;ugan1238;newz1236;chin1283;beng1239;aust1271;fren1243;arge1236;gree1271;dutc1253;russ1255;taiw1241;span1263;kore1273;tanz1238;brit1235;indi1237;thai1240;port1277;norw1255;keny1241;urub1243;plai1235;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00537634408602151","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.006519967400163","inte1259;paki1242","WALS_139A Irregular Negatives in Sign Languages"
"3","2","74730","0.167057876735296","2418","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;kari1304;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00661703887510339","vlaa1235;queb1245;adam1238;ital1275;finn1310;swed1236;isra1236;amer1248;turk1288;hong1241;iris1235;japa1238;braz1236;icel1236;ugan1238;newz1236;chin1283;beng1239;aust1271;fren1243;arge1236;gree1271;dutc1253;russ1255;taiw1241;span1263;kore1273;tanz1238;brit1235;indi1237;thai1240;port1277;norw1255;keny1241;urub1243;plai1235","WALS_140A Question Particles in Sign Languages"
"4","3","74729","0.16712475818806","2417","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;nija1241;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00661977658254034","kari1304","NA"
"5","4","74728","0.167191695006265","2416","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;aulu1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00662251655629139","nija1241","NA"
"6","5","74727","0.167258687258687","2415","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;nyam1271;gupa1247;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00662525879917184","aulu1238","NA"
"7","6","74726","0.167325735014219","2414","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;nyam1271;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00662800331400166","gupa1247","NA"
"8","7","74725","0.167392838341864","2413","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;bamu1253;lamn1239;ligu1248;emil1241;west2519;oyyy1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00663075010360547","nyam1271","NA"
"9","8","74724","0.167459997310744","2412","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;lamn1239;ligu1248;emil1241;west2519;oyyy1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;wanm1242;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.0066334991708126","bamu1253","NA"
"10","9","74723","0.16752721199009","2411","185","tepe1278;diii1241;boli1262;tuma1260;kimm1245;umbu1258;poch1244;sout3005;bagr1243;sika1262;gida1247;koor1239;kara1487;ainu1251;maca1260;omag1248;nant1249;rayo1235;maas1239;hree1244;astu1245;sint1235;bada1257;chru1239;east2332;luxe1241;goro1259;paka1251;germ1281;komc1235;mbee1250;guia1246;yamb1251;kitj1240;marm1234;bosn1245;guer1240;neap1235;east2426;lamn1239;ligu1248;emil1241;west2519;oyyy1238;ghot1243;baha1259;guro1248;hara1271;sira1267;guma1253;twan1247;ping1243;alac1244;thao1240;colu1241;wara1300;cent2132;gusi1247;shug1248;mana1298;papu1250;band1352;beli1260;loma1260;jama1262;kayt1238;waru1265;bayu1240;umpi1239;yala1262;ngar1286;dhal1245;wang1290;waka1274;guga1239;tayo1238;ibib1240;urho1239;awiy1238;binu1245;onto1237;xiri1243;taga1278;poqo1253;achi1256;prin1242;nort2627;uppe1455;veps1250;nort2626;ingr1248;east2295;bata1301;nege1240;bura1292;piem1238;isna1241;zeeu1238;kols1241;bata1292;teng1267;west2356;yagn1238;sara1326;pait1244;indo1311;iban1267;tagb1258;andi1255;magu1243;inpu1234;keoo1238;lund1271;sema1269;cent2101;naro1251;sout2918;kela1258;sout2797;nort2645;mola1238;mali1284;taul1251;besi1244;west2418;bara1370;kome1238;biat1246;asho1236;mand1442;hais1244;lako1244;mich1243;matu1261;aran1237;nort2784;kago1247;mank1251;pong1250;pott1240;else1239;chek1238;nucl1706;yura1255;akac1240;soch1239;yugh1239;sheh1240;khor1269;akab1249;muon1246;saek1240;yekh1238;tekt1235;khva1239;hinu1240;mams1234;chul1246;west2402;akak1252;nopa1235;juru1256;bath1244;dolg1241;tind1238;urum1249;ulch1241;yano1262;laha1250","0.00540540540540541","WALS_144Y The Position of Negative Morphemes in Object-Initial Languages","0.00663625051845707","wanm1242","NA"
